Australia,Belgium,Canada,China,Denmark,Egypt,England,Ethiopia,France,Germany,Ghana,HongKong,Hungary,India,Indonesia,Iran,Ireland,Italy,Japan_cTTO,Japan_DCE,Malaysia,Mexico,Netherlands,NewZealand,Norway,Peru_cTTO,Peru_DCE,Philippines,Poland,Portugal,Romania,SaudiArabia,Slovenia,SouthKorea,Spain,Sweden_2020,Sweden_2022,Taiwan,Thailand,Trinidad_and_Tobago,Uganda,Uruguay,USA,Vietnam,WePP
1.0,1.0,0.8138000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.968,0.938980581,0.7762,0.951,0.928,0.946,0.922,0.9741,0.97954,0.97,0.968,0.92,0.96,0.9837272,0.921,0.9154274,0.92,0.956,0.9282,0.9218999999999999,0.928,0.9449,0.9299999999999999,0.928,0.928256,0.8769474,0.9603027,0.97178,0.982,0.964,0.962008,0.958,0.943,0.967,0.919,0.9675,0.969,0.9363,0.9419,0.98,0.95,0.9905,0.943,0.9362,0.94
0.9339999999999999,0.886719123,0.7386,0.882,0.8089999999999999,0.819,0.896,0.9152,0.95317,0.918,0.91,0.86,0.907,0.9373679,0.866,0.7809763000000001,0.798,0.891,0.8895,0.8889,0.905,0.9176,0.855,0.843,0.850376,0.8740014,0.9210957,0.964642,0.971,0.915,0.9407959,0.889,0.882,0.954,0.872,0.9132,0.878,0.8170999999999999,0.9042,0.926,0.873,0.9565,0.877,0.8874,0.9
0.762,0.654372426,0.7010000000000001,0.785,0.5700000000000001,0.669,0.7150000000000001,0.7013,0.7999499999999999,0.756,0.784,0.7070000000000001,0.739,0.8364346,0.773,0.6612293,0.46499999999999997,0.6819999999999999,0.8318,0.827,0.77,0.8389,0.644,0.735,0.6342,0.8116238,0.8581425,0.852343,0.892,0.788,0.8898235,0.732,0.641,0.898,0.73,0.7998000000000001,0.723,0.6598999999999999,0.7673,0.839,0.765,0.8956999999999999,0.7010000000000001,0.8287,0.75
0.762,0.5612948,0.6634,0.742,0.382,0.587,0.7110000000000001,0.5422,0.74197,0.644,0.727,0.652,0.6599999999999999,0.7529508,0.6950000000000001,0.5907818,0.354,0.6779999999999999,0.804,0.8032,0.7,0.6663,0.579,0.611,0.528,0.5776654999999999,0.7710243999999999,0.7925,0.768,0.716,0.7815847,0.648,0.5369999999999999,0.863,0.652,0.7661,0.606,0.5788,0.7047,0.736,0.718,0.8229,0.679,0.7612,0.7
0.956,0.932922331,0.7694000000000001,0.942,0.952,0.946,0.937,0.9639,0.97802,0.943,0.95,0.924,0.957,0.9486407,0.914,0.8794568,0.9319999999999999,0.953,0.9555,0.9594,0.919,0.9469,0.9339999999999999,0.945,0.940568,0.9279614,0.9643266,0.9489184,0.97,0.959,0.9468813,0.961,0.961,0.958,0.922,0.9892,0.99,0.9132,0.9436,0.956,0.918,0.9829,0.94,0.9161,0.94
0.9239999999999999,0.871902912,0.7318,0.8929999999999999,0.88,0.8919999999999999,0.8590000000000001,0.938,0.95756,0.9129999999999999,0.9179999999999999,0.8440000000000001,0.9169999999999999,0.9323679,0.8350000000000001,0.7948842,0.852,0.9089999999999999,0.8837,0.8813,0.8470000000000001,0.8917999999999999,0.8639999999999999,0.873,0.8688239999999999,0.8049088000000001,0.9246293,0.9206984,0.952,0.9229999999999999,0.9088893,0.9189999999999999,0.9039999999999999,0.9249999999999999,0.8410000000000001,0.9567,0.959,0.8495,0.8855,0.9359999999999999,0.868,0.9734,0.8829999999999999,0.8523000000000001,0.8799999999999999
0.8899999999999999,0.819641454,0.6942,0.824,0.7609999999999999,0.7649999999999999,0.8330000000000001,0.8791,0.93119,0.861,0.86,0.784,0.864,0.8860086,0.78,0.6604331000000001,0.73,0.844,0.845,0.8483,0.8240000000000001,0.8644999999999999,0.7889999999999999,0.7879999999999999,0.790944,0.8019628000000001,0.8854223,0.9135604,0.941,0.874,0.8876772,0.85,0.843,0.9119999999999999,0.794,0.9024,0.868,0.7303,0.8478,0.882,0.791,0.9394,0.817,0.8035,0.84
0.718,0.587294757,0.6566000000000001,0.727,0.522,0.615,0.6520000000000001,0.6652,0.77797,0.699,0.734,0.631,0.696,0.7850753,0.687,0.5406861000000001,0.3969999999999999,0.635,0.7873,0.7864,0.6890000000000001,0.7857999999999999,0.578,0.6799999999999999,0.574768,0.7395852,0.8224691000000001,0.8012614,0.862,0.747,0.8367048,0.693,0.602,0.856,0.652,0.7889999999999999,0.713,0.5730999999999999,0.7109,0.7949999999999999,0.683,0.8786,0.641,0.7448,0.69
0.718,0.494217131,0.619,0.6839999999999999,0.33399999999999996,0.5329999999999999,0.6480000000000001,0.5061,0.71999,0.587,0.6769999999999999,0.5760000000000001,0.617,0.7015915,0.609,0.47023860000000006,0.2859999999999999,0.631,0.7595000000000001,0.7626000000000001,0.619,0.6132,0.5129999999999999,0.5559999999999999,0.468568,0.5056269,0.7353510000000001,0.7414184,0.738,0.675,0.7284660000000001,0.609,0.49799999999999994,0.821,0.5740000000000001,0.7553,0.596,0.492,0.6483,0.692,0.6360000000000001,0.8058,0.619,0.6773,0.6399999999999999
0.919,0.875472146,0.7250000000000001,0.862,0.906,0.894,0.916,0.9484,0.95296,0.891,0.914,0.853,0.927,0.8744936,0.905,0.7613568,0.907,0.912,0.9318,0.9319999999999999,0.893,0.9192,0.908,0.87,0.876053,0.8676923,0.9212145,0.93599776,0.95,0.899,0.9225669,0.907,0.896,0.947,0.899,0.9572,0.953,0.8422000000000001,0.9335,0.872,0.862,0.9393,0.902,0.8479,0.9
0.887,0.814452727,0.6874,0.813,0.8340000000000001,0.84,0.8380000000000001,0.9225,0.9325,0.861,0.882,0.773,0.887,0.8582208,0.8260000000000001,0.6767842,0.8270000000000001,0.868,0.86,0.8538999999999999,0.8210000000000001,0.8641,0.8380000000000001,0.798,0.8043089999999999,0.7446397,0.8815172,0.90777776,0.9319999999999999,0.863,0.8845748999999999,0.865,0.839,0.9139999999999999,0.8180000000000001,0.9247000000000001,0.9219999999999999,0.7785000000000001,0.8754,0.852,0.8119999999999999,0.9298000000000001,0.845,0.7841,0.8400000000000001
0.853,0.762191269,0.6498,0.744,0.7150000000000001,0.7130000000000001,0.812,0.8636,0.90613,0.809,0.8240000000000001,0.713,0.8340000000000001,0.8118615,0.771,0.5423331,0.7050000000000001,0.803,0.8212999999999999,0.8209,0.798,0.8368,0.763,0.713,0.726429,0.7416937,0.8423102,0.90063976,0.9209999999999999,0.8140000000000001,0.8633628,0.796,0.778,0.9009999999999999,0.771,0.8704000000000001,0.831,0.6593,0.8377,0.798,0.735,0.8958,0.779,0.7353,0.8
0.681,0.529844572,0.6122000000000001,0.647,0.47600000000000003,0.563,0.631,0.6496999999999999,0.75291,0.647,0.6980000000000001,0.56,0.666,0.7109282,0.678,0.42258609999999996,0.372,0.5940000000000001,0.7636,0.7589999999999999,0.663,0.7581,0.552,0.605,0.510253,0.6793161,0.7793570000000001,0.78834076,0.842,0.687,0.8123904,0.639,0.537,0.845,0.629,0.7570000000000001,0.6759999999999999,0.5021,0.7008,0.711,0.627,0.835,0.603,0.6766,0.65
0.681,0.436766946,0.5746,0.604,0.28800000000000003,0.48100000000000004,0.627,0.49060000000000004,0.69493,0.535,0.641,0.505,0.587,0.6274444,0.6000000000000001,0.35213859999999997,0.261,0.5900000000000001,0.7358,0.7352,0.593,0.5855,0.48700000000000004,0.481,0.404053,0.44535779999999997,0.6922389,0.72849776,0.718,0.615,0.7041516,0.555,0.433,0.8099999999999999,0.551,0.7233,0.5589999999999999,0.42100000000000004,0.6382,0.608,0.5800000000000001,0.7622,0.581,0.6091,0.6000000000000001
0.724,0.6200571429999999,0.6806000000000001,0.748,0.619,0.726,0.724,0.7297,0.73626,0.596,0.777,0.6930000000000001,0.712,0.6102284,0.802,0.6320783999999999,0.627,0.647,0.8686,0.876,0.741,0.7717,0.64,0.758,0.696975,0.7123997,0.8515771,0.73272304,0.739,0.746,0.8443473,0.659,0.605,0.834,0.755,0.8976,0.681,0.6597999999999999,0.7931,0.6890000000000001,0.42000000000000004,0.813,0.6819999999999999,0.73,0.75
0.692,0.559037724,0.643,0.699,0.547,0.6719999999999999,0.646,0.7038,0.7158,0.566,0.745,0.6130000000000001,0.6719999999999999,0.5939556,0.7230000000000001,0.5475057999999999,0.547,0.603,0.7968000000000001,0.7979,0.669,0.7166,0.5700000000000001,0.686,0.625231,0.5893471,0.8118797999999999,0.70450304,0.721,0.71,0.8063553,0.617,0.5479999999999999,0.8009999999999999,0.674,0.8651,0.65,0.5961,0.735,0.669,0.37000000000000005,0.8035,0.6249999999999999,0.6662,0.69
0.6579999999999999,0.5067762659999999,0.6054,0.63,0.428,0.5449999999999999,0.62,0.6449,0.68943,0.514,0.687,0.553,0.619,0.5475963,0.668,0.41305469999999994,0.425,0.538,0.7581,0.7649,0.646,0.6893,0.495,0.601,0.547351,0.5864011,0.7726727999999999,0.69736504,0.71,0.661,0.7851432,0.548,0.487,0.7879999999999999,0.627,0.8108,0.559,0.47689999999999994,0.6973,0.6150000000000001,0.29300000000000004,0.7695,0.5589999999999999,0.6174,0.65
0.486,0.27442956899999993,0.5678000000000001,0.533,0.189,0.39499999999999996,0.439,0.431,0.5362100000000001,0.352,0.561,0.4000000000000001,0.45099999999999996,0.44666300000000003,0.5750000000000001,0.29330769999999995,0.09199999999999997,0.329,0.7004,0.7030000000000001,0.511,0.6106,0.28400000000000003,0.493,0.331175,0.5240235,0.7097196,0.58506604,0.631,0.534,0.7341708,0.391,0.246,0.732,0.485,0.6974,0.404,0.31969999999999993,0.5604,0.528,0.18500000000000005,0.7086999999999999,0.38299999999999995,0.5587,0.5
